Patient	cluster_id	sample_id	cellular_prevalence	cellular_prevalence_std	upper_95CI	lower_95CI	clonal
Patient490	2	Primary-v2	0	6e-04	0.0012	-0.0012	FALSE
Patient490	2	Primary-v3	3e-04	0.0018	0.0039	-0.0033	FALSE
Patient490	2	Primary-v4	0.4772	0.0287	0.5346	0.4198	FALSE
Patient490	2	Primary-v5	0	7e-04	0.0014	-0.0014	FALSE
Patient490	2	Primary-v6	1e-04	9e-04	0.0019	-0.0017	FALSE
Patient490	2	Primary-v7	0.8558	0.0315	0.9188	0.7928	FALSE
Patient490	2	Primary-v8	1e-04	9e-04	0.0019	-0.0017	FALSE
Patient490	2	Primary-v9	1e-04	9e-04	0.0019	-0.0017	FALSE
Patient490	3	Primary-v1	2e-04	0.0015	0.0032	-0.0028	FALSE
Patient490	3	Primary-v10	1e-04	0.0012	0.0025	-0.0023	FALSE
Patient490	3	Primary-v2	1e-04	8e-04	0.0017	-0.0015	FALSE
Patient490	3	Primary-v3	1e-04	8e-04	0.0017	-0.0015	FALSE
Patient490	3	Primary-v4	0.6139	0.0419	0.6977	0.5301	FALSE
Patient490	3	Primary-v5	1e-04	9e-04	0.0019	-0.0017	FALSE
Patient490	3	Primary-v6	0	6e-04	0.0012	-0.0012	FALSE
Patient490	3	Primary-v7	1e-04	0.0011	0.0023	-0.0021	FALSE
Patient490	3	Primary-v8	4e-04	0.002	0.0044	-0.0036	FALSE
Patient490	3	Primary-v9	1e-04	9e-04	0.0019	-0.0017	FALSE
Patient490	4	Primary-v1	0	1e-04	2e-04	-2e-04	FALSE
Patient490	4	Primary-v10	0	0	0	0	FALSE
Patient490	4	Primary-v2	0.0037	0.0049	0.0135	-0.0061	FALSE
Patient490	4	Primary-v3	0	0	0	0	FALSE
Patient490	4	Primary-v4	0	0	0	0	FALSE
Patient490	4	Primary-v5	0	0	0	0	FALSE
Patient490	4	Primary-v6	0.01	0.001	0.012	0.008	FALSE
Patient490	4	Primary-v7	0	1e-04	2e-04	-2e-04	FALSE
Patient490	4	Primary-v8	0.1021	0.0106	0.1233	0.0809	FALSE
Patient490	4	Primary-v9	0.0912	0.0095	0.1102	0.0722	FALSE
Patient490	5	Primary-v1	5e-04	0.0023	0.0051	-0.0041	FALSE
Patient490	5	Primary-v10	5e-04	0.0023	0.0051	-0.0041	FALSE
Patient490	5	Primary-v2	3e-04	0.0018	0.0039	-0.0033	FALSE
Patient490	5	Primary-v3	2e-04	0.0015	0.0032	-0.0028	FALSE
Patient490	5	Primary-v4	4e-04	0.0021	0.0046	-0.0038	FALSE
Patient490	5	Primary-v5	3e-04	0.0018	0.0039	-0.0033	FALSE
Patient490	5	Primary-v6	0.6671	0.0504	0.7679	0.5663	FALSE
Patient490	5	Primary-v7	3e-04	0.0017	0.0037	-0.0031	FALSE
Patient490	5	Primary-v8	0.0056	0.006	0.0176	-0.0064	FALSE
Patient490	5	Primary-v9	2e-04	0.0016	0.0034	-0.003	FALSE
Patient490	6	Primary-v1	0.8591	0.0363	0.9317	0.7865	TRUE
Patient490	6	Primary-v10	0.6606	0.0344	0.7294	0.5918	TRUE
Patient490	6	Primary-v2	0.602	0.0312	0.6644	0.5396	TRUE
Patient490	6	Primary-v3	0.3484	0.026	0.4004	0.2964	TRUE
Patient490	6	Primary-v4	0.8295	0.0353	0.9001	0.7589	TRUE
Patient490	6	Primary-v5	0.6458	0.0323	0.7104	0.5812	TRUE
Patient490	6	Primary-v6	0.7841	0.0324	0.8489	0.7193	TRUE
Patient490	6	Primary-v7	0.7573	0.0727	0.9027	0.6119	TRUE
Patient490	6	Primary-v8	0.6849	0.0325	0.7499	0.6199	TRUE
Patient490	6	Primary-v9	0.6619	0.0322	0.7263	0.5975	TRUE
Patient490	7	Primary-v1	0.8814	0.0547	0.9908	0.772	FALSE
Patient490	7	Primary-v10	0.0377	0.015	0.0677	0.0077	FALSE
Patient490	7	Primary-v2	9e-04	0.0031	0.0071	-0.0053	FALSE
Patient490	7	Primary-v3	0.0125	0.0076	0.0277	-0.0027	FALSE
Patient490	7	Primary-v4	0.8718	0.053	0.9778	0.7658	FALSE
Patient490	7	Primary-v5	0.0011	0.0034	0.0079	-0.0057	FALSE
Patient490	7	Primary-v6	0.0064	0.007	0.0204	-0.0076	FALSE
Patient490	7	Primary-v7	0.7505	0.1012	0.9529	0.5481	FALSE
Patient490	7	Primary-v8	8e-04	0.003	0.0068	-0.0052	FALSE
Patient490	7	Primary-v9	0.0042	0.0062	0.0166	-0.0082	FALSE
Patient490	8	Primary-v1	0	6e-04	0.0012	-0.0012	FALSE
Patient490	8	Primary-v10	0.0168	0.0072	0.0312	0.0024	FALSE
Patient490	8	Primary-v2	0	1e-04	2e-04	-2e-04	FALSE
Patient490	8	Primary-v3	2e-04	0.0015	0.0032	-0.0028	FALSE
Patient490	8	Primary-v4	0	2e-04	4e-04	-4e-04	FALSE
Patient490	8	Primary-v5	0.4067	0.026	0.4587	0.3547	FALSE
Patient490	8	Primary-v6	0	2e-04	4e-04	-4e-04	FALSE
Patient490	8	Primary-v7	0	3e-04	6e-04	-6e-04	FALSE
Patient490	8	Primary-v8	0	2e-04	4e-04	-4e-04	FALSE
Patient490	8	Primary-v9	1e-04	9e-04	0.0019	-0.0017	FALSE
Patient490	9	Primary-v1	0.3674	0.0191	0.4056	0.3292	FALSE
Patient490	9	Primary-v10	0	0	0	0	FALSE
Patient490	9	Primary-v2	0	1e-04	2e-04	-2e-04	FALSE
Patient490	9	Primary-v3	0	0	0	0	FALSE
Patient490	9	Primary-v4	0	0	0	0	FALSE
Patient490	9	Primary-v5	0	0	0	0	FALSE
Patient490	9	Primary-v6	0	2e-04	4e-04	-4e-04	FALSE
Patient490	9	Primary-v7	0	0	0	0	FALSE
Patient490	9	Primary-v8	0	0	0	0	FALSE
Patient490	9	Primary-v9	0	0	0	0	FALSE
Patient498	1	Primary-v1	0.3448	0.0089	0.3626	0.327	TRUE
Patient498	1	Primary-v10	0.8617	0.0123	0.8863	0.8371	TRUE
Patient498	1	Primary-v2	0.8817	0.0119	0.9055	0.8579	TRUE
Patient498	1	Primary-v3	0.8666	0.0118	0.8902	0.843	TRUE
Patient498	1	Primary-v4	0.4188	0.0094	0.4376	0.4	TRUE
Patient498	1	Primary-v5	0.893	0.012	0.917	0.869	TRUE
Patient498	1	Primary-v6	0.0755	0.0052	0.0859	0.0651	TRUE
Patient498	1	Primary-v7	0.88	0.0122	0.9044	0.8556	TRUE
Patient498	1	Primary-v8	0.7911	0.0107	0.8125	0.7697	TRUE
Patient498	1	Primary-v9	0.9035	0.0122	0.9279	0.8791	TRUE
Patient498	2	Primary-v1	0.0427	0.0096	0.0619	0.0235	FALSE
Patient498	2	Primary-v10	0	5e-04	0.001	-0.001	FALSE
Patient498	2	Primary-v2	0.013	0.0061	0.0252	0.000799999999999999	FALSE
Patient498	2	Primary-v3	0.7751	0.0354	0.8459	0.7043	FALSE
Patient498	2	Primary-v4	0.0097	0.0039	0.0175	0.0019	FALSE
Patient498	2	Primary-v5	0.0143	0.0063	0.0269	0.0017	FALSE
Patient498	2	Primary-v6	0	4e-04	8e-04	-8e-04	FALSE
Patient498	2	Primary-v7	0.3391	0.0283	0.3957	0.2825	FALSE
Patient498	2	Primary-v8	0.0011	0.0032	0.0075	-0.0053	FALSE
Patient498	2	Primary-v9	6e-04	0.0025	0.0056	-0.0044	FALSE
Patient498	3	Primary-v1	6e-04	0.0026	0.0058	-0.0046	FALSE
Patient498	3	Primary-v10	0.7921	0.0587	0.9095	0.6747	FALSE
Patient498	3	Primary-v2	0.0216	0.0106	0.0428	0.000400000000000001	FALSE
Patient498	3	Primary-v3	0.0146	0.0082	0.031	-0.0018	FALSE
Patient498	3	Primary-v4	0.1903	0.0333	0.2569	0.1237	FALSE
Patient498	3	Primary-v5	0.2841	0.0403	0.3647	0.2035	FALSE
Patient498	3	Primary-v6	0.0222	0.0108	0.0438	6e-04	FALSE
Patient498	3	Primary-v7	0.2117	0.036	0.2837	0.1397	FALSE
Patient498	3	Primary-v8	0.0711	0.0205	0.1121	0.0301	FALSE
Patient498	3	Primary-v9	0.5118	0.0519	0.6156	0.408	FALSE
Patient498	4	Primary-v1	0	1e-04	2e-04	-2e-04	FALSE
Patient498	4	Primary-v10	0	2e-04	4e-04	-4e-04	FALSE
Patient498	4	Primary-v2	4e-04	0.0019	0.0042	-0.0034	FALSE
Patient498	4	Primary-v3	1e-04	8e-04	0.0017	-0.0015	FALSE
Patient498	4	Primary-v4	0	1e-04	2e-04	-2e-04	FALSE
Patient498	4	Primary-v5	0	3e-04	6e-04	-6e-04	FALSE
Patient498	4	Primary-v6	1e-04	0.0011	0.0023	-0.0021	FALSE
Patient498	4	Primary-v7	0	3e-04	6e-04	-6e-04	FALSE
Patient498	4	Primary-v8	0	2e-04	4e-04	-4e-04	FALSE
Patient498	4	Primary-v9	0.2769	0.0197	0.3163	0.2375	FALSE
Patient498	5	Primary-v1	0.0042	0.0053	0.0148	-0.0064	FALSE
Patient498	5	Primary-v10	0.0097	0.0069	0.0235	-0.0041	FALSE
Patient498	5	Primary-v2	2e-04	0.0014	0.003	-0.0026	FALSE
Patient498	5	Primary-v3	2e-04	0.0014	0.003	-0.0026	FALSE
Patient498	5	Primary-v4	8e-04	0.0028	0.0064	-0.0048	FALSE
Patient498	5	Primary-v5	0.0839	0.0211	0.1261	0.0417	FALSE
Patient498	5	Primary-v6	0.045	0.0143	0.0736	0.0164	FALSE
Patient498	5	Primary-v7	0.0021	0.0044	0.0109	-0.0067	FALSE
Patient498	5	Primary-v8	2e-04	0.0014	0.003	-0.0026	FALSE
Patient498	5	Primary-v9	2e-04	0.0015	0.0032	-0.0028	FALSE
Patient498	6	Primary-v1	8e-04	0.003	0.0068	-0.0052	FALSE
Patient498	6	Primary-v10	0.0059	0.0073	0.0205	-0.0087	FALSE
Patient498	6	Primary-v2	0.0011	0.0035	0.0081	-0.0059	FALSE
Patient498	6	Primary-v3	0.0011	0.0034	0.0079	-0.0057	FALSE
Patient498	6	Primary-v4	7e-04	0.0028	0.0063	-0.0049	FALSE
Patient498	6	Primary-v5	0.001	0.0034	0.0078	-0.0058	FALSE
Patient498	6	Primary-v6	8e-04	0.003	0.0068	-0.0052	FALSE
Patient498	6	Primary-v7	0.0013	0.0038	0.0089	-0.0063	FALSE
Patient498	6	Primary-v8	0.5247	0.0528	0.6303	0.4191	FALSE
Patient498	6	Primary-v9	0.0014	0.0041	0.0096	-0.0068	FALSE
Patient498	7	Primary-v1	0.0058	0.0057	0.0172	-0.0056	FALSE
Patient498	7	Primary-v10	0.0081	0.006	0.0201	-0.0039	FALSE
Patient498	7	Primary-v2	0.4005	0.0361	0.4727	0.3283	FALSE
Patient498	7	Primary-v3	0.0036	0.0051	0.0138	-0.0066	FALSE
Patient498	7	Primary-v4	0.041	0.013	0.067	0.015	FALSE
Patient498	7	Primary-v5	0.0861	0.0204	0.1269	0.0453	FALSE
Patient498	7	Primary-v6	0.0065	0.0058	0.0181	-0.0051	FALSE
Patient498	7	Primary-v7	0.0695	0.0187	0.1069	0.0321	FALSE
Patient498	7	Primary-v8	0.0224	0.0094	0.0412	0.0036	FALSE
Patient498	7	Primary-v9	1e-04	0.0011	0.0023	-0.0021	FALSE
Patient498	8	Primary-v1	0.2569	0.0214	0.2997	0.2141	FALSE
Patient498	8	Primary-v10	0	4e-04	8e-04	-8e-04	FALSE
Patient498	8	Primary-v2	0	3e-04	6e-04	-6e-04	FALSE
Patient498	8	Primary-v3	0	6e-04	0.0012	-0.0012	FALSE
Patient498	8	Primary-v4	0	2e-04	4e-04	-4e-04	FALSE
Patient498	8	Primary-v5	9e-04	0.0029	0.0067	-0.0049	FALSE
Patient498	8	Primary-v6	0	3e-04	6e-04	-6e-04	FALSE
Patient498	8	Primary-v7	1e-04	8e-04	0.0017	-0.0015	FALSE
Patient498	8	Primary-v8	0	6e-04	0.0012	-0.0012	FALSE
Patient498	8	Primary-v9	0	3e-04	6e-04	-6e-04	FALSE
Patient499	1	Primary-v1	0	0	0	0	FALSE
Patient499	1	Primary-v2	0	0	0	0	FALSE
Patient499	1	Primary-v3	0	0	0	0	FALSE
Patient499	1	Primary-v4	0.0169	0.0053	0.0275	0.0063	FALSE
Patient499	1	Primary-v5	0	0	0	0	FALSE
Patient499	1	Primary-v6	0	0	0	0	FALSE
Patient499	1	Primary-v7	0.0296	0.0081	0.0458	0.0134	FALSE
Patient499	1	Primary-v8	0.2238	0.0315	0.2868	0.1608	FALSE
Patient499	1	Primary-v9	0.0312	0.0077	0.0466	0.0158	FALSE
Patient499	2	Primary-v1	0.812	0.0223	0.8566	0.7674	TRUE
Patient499	2	Primary-v2	0.9295	0.0113	0.9521	0.9069	TRUE
Patient499	2	Primary-v3	0.7906	0.018	0.8266	0.7546	TRUE
Patient499	2	Primary-v4	0.6529	0.0133	0.6795	0.6263	TRUE
Patient499	2	Primary-v5	0.8093	0.0152	0.8397	0.7789	TRUE
Patient499	2	Primary-v6	0.7335	0.0312	0.7959	0.6711	TRUE
Patient499	2	Primary-v7	0.732	0.0146	0.7612	0.7028	TRUE
Patient499	2	Primary-v8	0.7919	0.0312	0.8543	0.7295	TRUE
Patient499	2	Primary-v9	0.9118	0.0096	0.931	0.8926	TRUE
Patient499	3	Primary-v1	0.9879	0.0149	1.0177	0.9581	FALSE
Patient499	3	Primary-v2	0.6525	0.0322	0.7169	0.5881	FALSE
Patient499	3	Primary-v3	0.7978	0.0301	0.858	0.7376	FALSE
Patient499	3	Primary-v4	0.5304	0.0185	0.5674	0.4934	FALSE
Patient499	3	Primary-v5	0.8075	0.0279	0.8633	0.7517	FALSE
Patient499	3	Primary-v6	0.669	0.0275	0.724	0.614	FALSE
Patient499	3	Primary-v7	0.6899	0.0424	0.7747	0.6051	FALSE
Patient499	3	Primary-v8	0.6375	0.0483	0.7341	0.5409	FALSE
Patient499	3	Primary-v9	0.6395	0.0481	0.7357	0.5433	FALSE
Patient499	4	Primary-v1	0.8321	0.03	0.8921	0.7721	FALSE
Patient499	4	Primary-v2	0.9115	0.0399	0.9913	0.8317	FALSE
Patient499	4	Primary-v3	0.8785	0.0368	0.9521	0.8049	FALSE
Patient499	4	Primary-v4	0.3564	0.0293	0.415	0.2978	FALSE
Patient499	4	Primary-v5	0.6211	0.0189	0.6589	0.5833	FALSE
Patient499	4	Primary-v6	0.6053	0.024	0.6533	0.5573	FALSE
Patient499	4	Primary-v7	0.6797	0.0593	0.7983	0.5611	FALSE
Patient499	4	Primary-v8	0.842	0.0344	0.9108	0.7732	FALSE
Patient499	4	Primary-v9	0.7934	0.0543	0.902	0.6848	FALSE
Patient499	5	Primary-v1	0.6885	0.0239	0.7363	0.6407	FALSE
Patient499	5	Primary-v2	0.6822	0.0402	0.7626	0.6018	FALSE
Patient499	5	Primary-v3	0.6282	0.0207	0.6696	0.5868	FALSE
Patient499	5	Primary-v4	0.3905	0.0167	0.4239	0.3571	FALSE
Patient499	5	Primary-v5	0.78	0.0287	0.8374	0.7226	FALSE
Patient499	5	Primary-v6	0.6635	0.0283	0.7201	0.6069	FALSE
Patient499	5	Primary-v7	0.5887	0.0328	0.6543	0.5231	FALSE
Patient499	5	Primary-v8	0.6246	0.025	0.6746	0.5746	FALSE
Patient499	5	Primary-v9	0.8457	0.0506	0.9469	0.7445	FALSE
Patient499	6	Primary-v1	0.0941	0.013	0.1201	0.0681	FALSE
Patient499	6	Primary-v2	0.4238	0.0358	0.4954	0.3522	FALSE
Patient499	6	Primary-v3	3e-04	0.0017	0.0037	-0.0031	FALSE
Patient499	6	Primary-v4	0.1242	0.016	0.1562	0.0922	FALSE
Patient499	6	Primary-v5	0.0148	0.0052	0.0252	0.0044	FALSE
Patient499	6	Primary-v6	0.001	0.003	0.007	-0.005	FALSE
Patient499	6	Primary-v7	0.1248	0.0487	0.2222	0.0274	FALSE
Patient499	6	Primary-v8	1e-04	0.0012	0.0025	-0.0023	FALSE
Patient499	6	Primary-v9	0.2728	0.1289	0.5306	0.015	FALSE
Patient499	7	Primary-v1	7e-04	0.0026	0.0059	-0.0045	FALSE
Patient499	7	Primary-v2	0.0321	0.0124	0.0569	0.0073	FALSE
Patient499	7	Primary-v3	0.0495	0.014	0.0775	0.0215	FALSE
Patient499	7	Primary-v4	0.0096	0.005	0.0196	-0.000400000000000001	FALSE
Patient499	7	Primary-v5	0.1321	0.0193	0.1707	0.0935	FALSE
Patient499	7	Primary-v6	0.1587	0.0248	0.2083	0.1091	FALSE
Patient499	7	Primary-v7	0.0615	0.017	0.0955	0.0275	FALSE
Patient499	7	Primary-v8	0.0193	0.0096	0.0385	0.000100000000000003	FALSE
Patient499	7	Primary-v9	0.0193	0.0082	0.0357	0.0029	FALSE
Patient500	1	Primary-v1	1e-04	8e-04	0.0017	-0.0015	FALSE
Patient500	1	Primary-v2	0.5907	0.0337	0.6581	0.5233	FALSE
Patient500	1	Primary-v3	0.0333	0.0113	0.0559	0.0107	FALSE
Patient500	1	Primary-v4	0.0042	0.0054	0.015	-0.0066	FALSE
Patient500	1	Primary-v5	0.0033	0.0051	0.0135	-0.0069	FALSE
Patient500	1	Primary-v6	8e-04	0.0029	0.0066	-0.005	FALSE
Patient500	1	Primary-v7	1e-04	0.001	0.0021	-0.0019	FALSE
Patient500	1	Primary-v8	1e-04	0.0012	0.0025	-0.0023	FALSE
Patient500	2	Primary-v1	0.8229	0.0667	0.9563	0.6895	FALSE
Patient500	2	Primary-v2	0.5147	0.0853	0.6853	0.3441	FALSE
Patient500	2	Primary-v3	0.6057	0.0584	0.7225	0.4889	FALSE
Patient500	2	Primary-v4	0.9043	0.0574	1.0191	0.7895	FALSE
Patient500	2	Primary-v5	0.7885	0.0657	0.9199	0.6571	FALSE
Patient500	2	Primary-v6	0.8083	0.0692	0.9467	0.6699	FALSE
Patient500	2	Primary-v7	0.8499	0.0673	0.9845	0.7153	FALSE
Patient500	2	Primary-v8	0.7942	0.0706	0.9354	0.653	FALSE
Patient500	3	Primary-v1	0.9457	0.0109	0.9675	0.9239	TRUE
Patient500	3	Primary-v2	0.8992	0.0124	0.924	0.8744	TRUE
Patient500	3	Primary-v3	0.6618	0.0112	0.6842	0.6394	TRUE
Patient500	3	Primary-v4	0.8476	0.0104	0.8684	0.8268	TRUE
Patient500	3	Primary-v5	0.8591	0.0126	0.8843	0.8339	TRUE
Patient500	3	Primary-v6	0.7782	0.0131	0.8044	0.752	TRUE
Patient500	3	Primary-v7	0.8699	0.0137	0.8973	0.8425	TRUE
Patient500	3	Primary-v8	0.7624	0.0116	0.7856	0.7392	TRUE
Patient500	4	Primary-v1	1e-04	9e-04	0.0019	-0.0017	FALSE
Patient500	4	Primary-v2	0.0106	0.0086	0.0278	-0.0066	FALSE
Patient500	4	Primary-v3	0	7e-04	0.0014	-0.0014	FALSE
Patient500	4	Primary-v4	0.0354	0.0112	0.0578	0.013	FALSE
Patient500	4	Primary-v5	9e-04	0.003	0.0069	-0.0051	FALSE
Patient500	4	Primary-v6	3e-04	0.0017	0.0037	-0.0031	FALSE
Patient500	4	Primary-v7	0.0344	0.0126	0.0596	0.0092	FALSE
Patient500	4	Primary-v8	0.2565	0.0404	0.3373	0.1757	FALSE
Patient500	5	Primary-v1	9e-04	0.0032	0.0073	-0.0055	FALSE
Patient500	5	Primary-v2	6e-04	0.0026	0.0058	-0.0046	FALSE
Patient500	5	Primary-v3	0.0524	0.0181	0.0886	0.0162	FALSE
Patient500	5	Primary-v4	0.0048	0.0065	0.0178	-0.0082	FALSE
Patient500	5	Primary-v5	0.4964	0.0526	0.6016	0.3912	FALSE
Patient500	5	Primary-v6	0.6266	0.0598	0.7462	0.507	FALSE
Patient500	5	Primary-v7	0.1093	0.0281	0.1655	0.0531	FALSE
Patient500	5	Primary-v8	0.0015	0.0042	0.0099	-0.0069	FALSE
Patient500	6	Primary-v1	0.586	0.0904	0.7668	0.4052	FALSE
Patient500	6	Primary-v2	0.504	0.0937	0.6914	0.3166	FALSE
Patient500	6	Primary-v3	0.3031	0.0794	0.4619	0.1443	FALSE
Patient500	6	Primary-v4	0.4692	0.0935	0.6562	0.2822	FALSE
Patient500	6	Primary-v5	0.4767	0.0938	0.6643	0.2891	FALSE
Patient500	6	Primary-v6	0.4292	0.0925	0.6142	0.2442	FALSE
Patient500	6	Primary-v7	0.5189	0.094	0.7069	0.3309	FALSE
Patient500	6	Primary-v8	0.4534	0.0936	0.6406	0.2662	FALSE
Patient500	7	Primary-v1	0.0045	0.0081	0.0207	-0.0117	FALSE
Patient500	7	Primary-v2	0.003	0.0067	0.0164	-0.0104	FALSE
Patient500	7	Primary-v3	0.0636	0.0281	0.1198	0.0074	FALSE
Patient500	7	Primary-v4	0.2423	0.0552	0.3527	0.1319	FALSE
Patient500	7	Primary-v5	0.2122	0.0528	0.3178	0.1066	FALSE
Patient500	7	Primary-v6	0.0416	0.0228	0.0872	-0.004	FALSE
Patient500	7	Primary-v7	0.2418	0.0569	0.3556	0.128	FALSE
Patient500	7	Primary-v8	0.006	0.0098	0.0256	-0.0136	FALSE
Patient501	1	Primary-v1	0.1048	0.0312	0.1672	0.0424	FALSE
Patient501	1	Primary-v10	0.0241	0.0145	0.0531	-0.0049	FALSE
Patient501	1	Primary-v2	0.002	0.005	0.012	-0.008	FALSE
Patient501	1	Primary-v3	0.0427	0.0189	0.0805	0.0049	FALSE
Patient501	1	Primary-v4	0.0324	0.0149	0.0622	0.0026	FALSE
Patient501	1	Primary-v5	0.0213	0.0135	0.0483	-0.0057	FALSE
Patient501	1	Primary-v6	0.002	0.0049	0.0118	-0.0078	FALSE
Patient501	1	Primary-v7	0.2594	0.0425	0.3444	0.1744	FALSE
Patient501	1	Primary-v8	0.2409	0.0435	0.3279	0.1539	FALSE
Patient501	1	Primary-v9	0.0025	0.0057	0.0139	-0.0089	FALSE
Patient501	2	Primary-v1	0.1529	0.0284	0.2097	0.0961	FALSE
Patient501	2	Primary-v10	2e-04	0.0015	0.0032	-0.0028	FALSE
Patient501	2	Primary-v2	1e-04	0.0011	0.0023	-0.0021	FALSE
Patient501	2	Primary-v3	4e-04	0.0021	0.0046	-0.0038	FALSE
Patient501	2	Primary-v4	9e-04	0.0031	0.0071	-0.0053	FALSE
Patient501	2	Primary-v5	2e-04	0.0014	0.003	-0.0026	FALSE
Patient501	2	Primary-v6	2e-04	0.0014	0.003	-0.0026	FALSE
Patient501	2	Primary-v7	1e-04	0.0011	0.0023	-0.0021	FALSE
Patient501	2	Primary-v8	0.0011	0.0033	0.0077	-0.0055	FALSE
Patient501	2	Primary-v9	0.028	0.0115	0.051	0.005	FALSE
Patient501	3	Primary-v1	7e-04	0.0027	0.0061	-0.0047	FALSE
Patient501	3	Primary-v10	0.0143	0.0077	0.0297	-0.0011	FALSE
Patient501	3	Primary-v2	3e-04	0.0017	0.0037	-0.0031	FALSE
Patient501	3	Primary-v3	0.1319	0.0355	0.2029	0.0609	FALSE
Patient501	3	Primary-v4	0.0685	0.0229	0.1143	0.0227	FALSE
Patient501	3	Primary-v5	0.0115	0.0063	0.0241	-0.0011	FALSE
Patient501	3	Primary-v6	0.1854	0.0527	0.2908	0.08	FALSE
Patient501	3	Primary-v7	0.1122	0.0304	0.173	0.0514	FALSE
Patient501	3	Primary-v8	3e-04	0.0018	0.0039	-0.0033	FALSE
Patient501	3	Primary-v9	0.2669	0.0712	0.4093	0.1245	FALSE
Patient501	4	Primary-v1	0.1334	0.0212	0.1758	0.091	FALSE
Patient501	4	Primary-v10	0.1532	0.0284	0.21	0.0964	FALSE
Patient501	4	Primary-v2	0.5281	0.0444	0.6169	0.4393	FALSE
Patient501	4	Primary-v3	0.1242	0.0228	0.1698	0.0786	FALSE
Patient501	4	Primary-v4	0.0556	0.0149	0.0854	0.0258	FALSE
Patient501	4	Primary-v5	0.5026	0.0443	0.5912	0.414	FALSE
Patient501	4	Primary-v6	0.0875	0.0183	0.1241	0.0509	FALSE
Patient501	4	Primary-v7	0.1401	0.0229	0.1859	0.0943	FALSE
Patient501	4	Primary-v8	0.1937	0.0306	0.2549	0.1325	FALSE
Patient501	4	Primary-v9	0.0136	0.0078	0.0292	-0.002	FALSE
Patient501	5	Primary-v1	0.0016	0.0039	0.0094	-0.0062	FALSE
Patient501	5	Primary-v10	1e-04	9e-04	0.0019	-0.0017	FALSE
Patient501	5	Primary-v2	0.0164	0.0081	0.0326	0.000200000000000002	FALSE
Patient501	5	Primary-v3	0.0374	0.0108	0.059	0.0158	FALSE
Patient501	5	Primary-v4	0.0249	0.0091	0.0431	0.0067	FALSE
Patient501	5	Primary-v5	0.0995	0.0219	0.1433	0.0557	FALSE
Patient501	5	Primary-v6	0.0068	0.0059	0.0186	-0.005	FALSE
Patient501	5	Primary-v7	0.0078	0.006	0.0198	-0.0042	FALSE
Patient501	5	Primary-v8	0.0022	0.0043	0.0108	-0.0064	FALSE
Patient501	5	Primary-v9	1e-04	8e-04	0.0017	-0.0015	FALSE
Patient501	6	Primary-v1	0.2592	0.0106	0.2804	0.238	TRUE
Patient501	6	Primary-v10	0.4357	0.0109	0.4575	0.4139	TRUE
Patient501	6	Primary-v2	0.5468	0.0105	0.5678	0.5258	TRUE
Patient501	6	Primary-v3	0.4229	0.0108	0.4445	0.4013	TRUE
Patient501	6	Primary-v4	0.2838	0.0085	0.3008	0.2668	TRUE
Patient501	6	Primary-v5	0.4816	0.0104	0.5024	0.4608	TRUE
Patient501	6	Primary-v6	0.3956	0.0099	0.4154	0.3758	TRUE
Patient501	6	Primary-v7	0.4767	0.0103	0.4973	0.4561	TRUE
Patient501	6	Primary-v8	0.3978	0.01	0.4178	0.3778	TRUE
Patient501	6	Primary-v9	0.4703	0.0118	0.4939	0.4467	TRUE
Patient501	7	Primary-v1	0	5e-04	0.001	-0.001	FALSE
Patient501	7	Primary-v10	0.0033	0.0048	0.0129	-0.0063	FALSE
Patient501	7	Primary-v2	0.3136	0.0212	0.356	0.2712	FALSE
Patient501	7	Primary-v3	0	1e-04	2e-04	-2e-04	FALSE
Patient501	7	Primary-v4	0	1e-04	2e-04	-2e-04	FALSE
Patient501	7	Primary-v5	0	7e-04	0.0014	-0.0014	FALSE
Patient501	7	Primary-v6	0	1e-04	2e-04	-2e-04	FALSE
Patient501	7	Primary-v7	0	0	0	0	FALSE
Patient501	7	Primary-v8	1e-04	8e-04	0.0017	-0.0015	FALSE
Patient501	7	Primary-v9	1e-04	9e-04	0.0019	-0.0017	FALSE
Patient503	1	Primary-v1	0.0059	0.0097	0.0253	-0.0135	FALSE
Patient503	1	Primary-v10	0.132	0.0423	0.2166	0.0474	FALSE
Patient503	1	Primary-v2	0.0253	0.0174	0.0601	-0.0095	FALSE
Patient503	1	Primary-v3	0.4904	0.0764	0.6432	0.3376	FALSE
Patient503	1	Primary-v4	0.0683	0.0312	0.1307	0.0059	FALSE
Patient503	1	Primary-v5	0.4576	0.0745	0.6066	0.3086	FALSE
Patient503	1	Primary-v6	0.4756	0.0763	0.6282	0.323	FALSE
Patient503	1	Primary-v7	0.6247	0.0842	0.7931	0.4563	FALSE
Patient503	1	Primary-v8	0.0798	0.0338	0.1474	0.0122	FALSE
Patient503	1	Primary-v9	0.0067	0.0106	0.0279	-0.0145	FALSE
Patient503	2	Primary-v1	0.0011	0.0035	0.0081	-0.0059	FALSE
Patient503	2	Primary-v10	0.0031	0.0054	0.0139	-0.0077	FALSE
Patient503	2	Primary-v2	9e-04	0.0031	0.0071	-0.0053	FALSE
Patient503	2	Primary-v3	8e-04	0.0029	0.0066	-0.005	FALSE
Patient503	2	Primary-v4	9e-04	0.0031	0.0071	-0.0053	FALSE
Patient503	2	Primary-v5	0.2975	0.0578	0.4131	0.1819	FALSE
